"","year","hare","lynx","nao","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"1",1845,28000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1846,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1847,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1848,25000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1849,12000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1850,26000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1851,53000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1852,80000,2174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1853,80000,2106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1854,90000,3021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1855,69000,4754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1856,81000,7324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",1857,95000,8197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",1858,71000,6913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1859,28000,4772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1860,18000,2383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",1861,19000,1540,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1862,40000,1508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",1863,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1864,152000,NA,-1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1865,145000,NA,-1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1866,105000,NA,0.54,7.2,6.3,8.3,9.7,10.7,13.1,13.1,13,11.8,10.6,8.7,7.8
"23",1867,45000,NA,-1.38,7.4,6.4,8.7,9.7,10.7,12.4,12.8,12.4,11.3,9.6,10.5,7.9
"24",1868,22000,NA,2.81,6,6.9,8.4,10.2,12.4,13.7,13.4,13.5,12.5,11.3,10.5,7.7
"25",1869,2000,NA,1.7,7.7,7.4,9.7,6.8,9.3,11,12.5,11.3,11.5,9.1,7.8,6.1
"26",1870,3000,NA,-3.01,3.9,5.2,8.9,10,11.8,13.3,12.7,11.6,11.7,11,9.4,8.9
"27",1871,8000,NA,-1.01,6.9,7.1,9.5,9.6,11.2,12.4,13,12.7,11.6,10.1,8.2,7.2
"28",1872,7000,NA,-0.76,3.2,5,5.6,11.7,10.1,10,10.9,11.5,9.9,9,7.2,4.6
"29",1873,62000,NA,-0.5,3.7,7.3,8.5,10.1,13.1,16.7,15.3,13.6,15,11,8.9,5
"30",1874,50000,NA,2.32,5.9,8.2,9.4,9.4,10.2,13.4,13.2,12.9,10.8,8.6,8.7,4.9
"31",1875,51000,NA,-1.35,6,6.4,9.6,9.4,10.6,11,12.8,12.9,10.5,7.6,9,6.8
"32",1876,105000,NA,0.21,4.8,5.3,6.4,8.2,10.9,12.1,14.3,12.8,11.6,11,8.6,8.8
"33",1877,88000,NA,0.05,6.8,7.7,7.4,10.9,11.1,14.9,14.8,13.9,13.8,12.6,10.3,8.7
"34",1878,64000,NA,1.46,6.8,9.3,8.3,9.7,10.6,12.4,11.7,13.1,10.2,9.2,8.2,5.1
"35",1879,19000,NA,-2.22,5.1,5.3,7,9.3,10.6,11.9,11.7,11.6,11.1,9.9,7.7,6.8
"36",1880,10000,NA,0.89,4.3,6.8,6.7,10,10.3,12.4,14.1,13,12.5,11.6,9.8,8.2
"37",1881,16000,NA,-3.8,6.9,7.3,9.2,11.3,10.9,12.5,14.3,14.1,13.1,12.7,7.8,6.5
"38",1882,15000,NA,3.87,6.4,6.3,7.5,8.5,9.4,12.3,13.1,13.2,11.8,9.4,9.5,5.8
"39",1883,15000,NA,-0.23,7.3,6.6,9.2,8.4,10.5,12.4,13,11.7,11.9,10.2,7.2,6.9
"40",1884,45000,NA,1.44,7.3,7.6,7.5,11,11.2,12.4,13.2,12.6,12,10.9,9,7.4
"41",1885,54000,NA,-0.89,7.3,6.4,8.4,10.5,12.7,13.4,14.1,13.2,13.1,12.6,11.1,7
"42",1886,138000,NA,-1.12,7.9,5.8,8.4,9.3,10.3,12.3,11.7,11.1,10.7,9.7,8.1,4.4
"43",1887,139000,NA,0.45,5.6,4.8,7.1,8.6,10.8,12.5,13.6,12.6,12.1,11,9.4,8
"44",1888,95000,NA,-2.75,5.5,6.9,9.7,10.4,11.2,13.1,13.7,13.4,12.6,12,9.9,8.8
"45",1889,38000,NA,-0.01,9,8.4,10.2,10.1,11.1,11.1,12.8,13,10.9,10.2,5.8,4.4
"46",1890,25000,NA,1.78,4.1,6.3,6.8,8.6,10.8,11.3,12.6,12.2,10.6,9.7,9.2,7.5
"47",1891,52000,NA,-0.82,5.3,6.8,9.2,10,12.2,13.1,14.2,14.7,13.7,11.4,10.1,8.9
