YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1937,999.90,-6.89,-5.39,-1.29,8.91,13.81,16.91,16.81,13.71,6.41,0.71,-4.08,999.90,0.74,15.84,6.94,4.51
1938,-8.68,-12.08,-7.28,0.32,6.22,13.72,17.32,16.72,12.72,6.92,0.02,-3.77,-8.28,-0.25,15.92,6.55,3.49
1939,-7.77,-10.77,-8.77,-0.57,4.03,7.83,16.23,14.93,10.73,5.83,-0.57,-2.76,-7.44,-1.77,13.00,5.33,2.28
1940,-6.76,-7.96,-2.26,-0.16,5.94,10.74,16.94,15.14,12.84,5.34,-0.06,-6.25,-5.83,1.17,14.27,6.04,3.92
1941,-7.25,-4.65,-4.55,0.25,6.45,9.05,15.95,13.45,7.95,3.75,-1.15,-3.55,-6.05,0.72,12.82,3.52,2.75
1942,-7.35,-4.65,-2.05,0.65,6.65,10.95,17.15,16.45,13.15,7.15,0.95,-6.74,-5.18,1.75,14.85,7.08,4.62
1943,-9.74,-6.14,-4.94,0.66,4.56,8.26,15.56,13.16,13.86,7.66,2.16,-4.73,-7.54,0.09,12.33,7.89,3.19
1944,-7.53,-8.23,-5.03,-0.33,5.97,11.97,14.17,17.07,12.67,6.37,2.17,-3.52,-6.83,0.20,14.40,7.07,3.71
1945,-4.02,-8.42,-4.92,0.28,6.38,9.88,16.48,16.98,11.28,6.38,0.88,-4.71,-5.32,0.58,14.45,6.18,3.97
1946,-8.61,-6.81,-2.81,1.19,7.19,11.39,15.59,17.79,13.79,6.39,-0.51,-5.40,-6.71,1.86,14.92,6.56,4.16
1947,-9.70,-3.50,-2.70,-2.10,6.20,10.80,19.50,14.60,11.50,5.80,0.80,-4.49,-6.20,0.47,14.97,6.03,3.82
1948,-5.69,-10.79,-8.49,-0.39,6.71,10.21,14.81,15.71,11.11,6.21,1.21,-4.78,-6.99,-0.72,13.58,6.18,3.01
1949,-7.18,-10.08,-1.48,1.12,6.12,11.12,15.92,13.92,11.32,5.72,1.22,-2.87,-7.35,1.92,13.65,6.09,3.58
1950,-9.27,-11.17,-6.47,0.73,5.43,12.83,15.53,16.13,10.23,5.43,2.73,-1.06,-7.77,-0.10,14.83,6.13,3.27
1951,-4.46,-4.16,-1.36,4.34,6.24,11.44,17.34,16.74,12.34,5.94,2.44,-5.55,-3.23,3.07,15.17,6.91,5.48
1952,-5.45,-5.25,-2.45,1.05,6.05,12.45,18.25,17.95,11.65,5.75,1.25,-2.94,-5.42,1.55,16.22,6.22,4.64
1953,-4.84,-4.94,-4.24,4.06,4.86,12.66,17.56,14.86,11.76,5.36,1.86,-3.53,-4.24,1.56,15.03,6.33,4.67
1954,-8.33,-3.53,-3.03,-0.23,5.47,12.77,16.77,13.57,11.97,5.27,1.67,-1.02,-5.13,0.74,14.37,6.30,4.07
1955,-2.32,-5.32,-4.12,-1.22,5.38,11.48,15.48,15.58,11.48,5.68,1.28,-4.81,-2.89,0.01,14.18,6.15,4.36
1956,-1.51,-6.31,-5.91,1.49,4.99,11.49,15.59,14.99,10.99,6.89,2.79,-6.30,-4.21,0.19,14.02,6.89,4.22
1957,-11.80,-8.20,-3.50,-0.70,4.80,9.80,16.40,16.10,11.40,6.40,1.00,-0.99,-8.77,0.20,14.10,6.27,2.95
1958,-2.09,-2.59,-2.09,3.41,9.51,10.51,14.81,16.41,11.71,5.21,1.11,-7.58,-1.89,3.61,13.91,6.01,5.41
