"","X","X1","X2","X3","X4","X5","X6","X7","X8","X9"
"2379",2379,1,2,0,13163.949444044,7543.33277261615,-7543.33277261615,15486.6655452323,16423.5878907659,"AG206_Edit"
"2380",2380,2,2,0.025,34583.2619003829,7910.75605638395,-7910.75605638395,16221.5121127679,17158.4344583015,"AG206_Edit"
"2381",2381,3,2,0.05,39301.230857748,7785.83334421548,-7785.83334421548,15971.666688431,16908.5890339645,"AG206_Edit"
"2382",2382,4,2,0.075,41033.1100495371,7702.39451530961,-7702.39451530961,15804.7890306192,16741.7113761528,"AG206_Edit"
"2383",2383,5,2,0.1,43522.6474301521,7639.49791682593,-7639.49791682593,15678.9958336519,16615.9181791855,"AG206_Edit"
"2384",2384,6,2,0.125,44951.7623456833,7624.99495313278,-7624.99495313278,15649.9899062656,16586.9122517991,"AG206_Edit"
"2385",2385,7,2,0.15,47312.4562183222,7587.65850162724,-7587.65850162724,15575.3170032545,16512.2393487881,"AG206_Edit"
"2386",2386,8,2,0.175,49751.7474428093,7571.81278250769,-7571.81278250769,15543.6255650154,16480.547910549,"AG206_Edit"
"2387",2387,9,2,0.2,51746.5839677691,7536.4939788742,-7536.4939788742,15472.9879577484,16409.910303282,"AG206_Edit"
"2388",2388,10,2,0.225,54339.530226925,7505.06755933225,-7505.06755933225,15410.1351186645,16347.0574641981,"AG206_Edit"
"2389",2389,11,2,0.25,55312.3464713759,7493.23718471668,-7493.23718471668,15386.4743694334,16323.3967149669,"AG206_Edit"
"2390",2390,12,2,0.275,57125.6016050144,7475.38606285063,-7475.38606285063,15350.7721257013,16287.6944712349,"AG206_Edit"
"2391",2391,13,2,0.3,58381.5439698982,7465.40533651776,-7465.40533651776,15330.8106730355,16267.7330185691,"AG206_Edit"
"2392",2392,14,2,0.325,58693.6515825539,7464.56063943907,-7464.56063943907,15329.1212788781,16266.0436244117,"AG206_Edit"
"2393",2393,15,2,0.35,59178.613249886,7464.56063943907,-7464.56063943907,15329.1212788781,16266.0436244117,"AG206_Edit"
"2394",2394,16,2,0.375,59606.1109640102,7448.38760520009,-7448.38760520009,15296.7752104002,16233.6975559338,"AG206_Edit"
"2395",2395,17,2,0.4,59606.0599902253,7448.38760520009,-7448.38760520009,15296.7752104002,16233.6975559338,"AG206_Edit"
"2396",2396,18,2,0.425,59623.9676000565,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2397",2397,19,2,0.45,59623.9161299055,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2398",2398,20,2,0.475,59623.994475369,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2399",2399,21,2,0.5,59655.6415959734,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2400",2400,22,2,0.525,59655.6736895776,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2401",2401,23,2,0.55,59655.5624032269,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2402",2402,24,2,0.575,60266.517540905,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2403",2403,25,2,0.6,60266.5302915759,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2404",2404,26,2,0.625,60266.5283178709,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2405",2405,27,2,0.65,60266.5175540761,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2406",2406,28,2,0.675,60266.4299958777,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2407",2407,29,2,0.7,60266.4272854309,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2408",2408,30,2,0.725,60266.409580424,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2409",2409,31,2,0.75,60266.4350695062,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2410",2410,32,2,0.775,60266.5632670516,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2411",2411,33,2,0.8,60266.4829069578,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2412",2412,34,2,0.825,60266.5357848476,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2413",2413,35,2,0.85,60266.3833436001,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2414",2414,36,2,0.875,60266.4176862479,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2415",2415,37,2,0.9,60266.3791207535,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2416",2416,38,2,0.925,60266.4716034833,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2417",2417,39,2,0.95,60266.5522202398,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
"2418",2418,40,2,0.975,60266.3937696829,7438.7098736602,-7438.7098736602,15277.4197473204,16214.342092854,"AG206_Edit"
