,Unit ID,DateTime,Longitude,Latitude,Speed (km/h),Direction,Temperature (deg C),Altitude (m),PDOP
138,AG062,2009-04-19 12:01:14,15.91850179,-19.17764689,0,0,0,1142,3
139,AG062,2009-04-20 00:00:44,15.91851908,-19.17764079,0,0,0,1143,3
140,AG062,2009-04-20 12:00:50,15.91853333,-19.17762044,0,0,0,1120,5
141,AG062,2009-04-20 13:00:50,15.91836344,-19.17773438,0,0,0,1101,4
142,AG062,2009-04-20 13:01:00,15.91841736,-19.17771606,0,0,0,1110,3
143,AG062,2009-04-20 13:01:10,15.91845093,-19.17770386,0,0,0,1115,3
144,AG062,2009-04-20 13:20:51,15.91836446,-19.17773438,0,0,0,1100,3
145,AG062,2009-04-20 13:21:01,15.91860352,-19.17757975,0,0,0,1127,5
146,AG062,2009-04-20 13:21:11,15.91854655,-19.17759806,0,0,0,1118,5
147,AG062,2009-04-20 13:43:01,15.91860657,-19.17758993,0,0,0,1127,5
150,AG062,2009-04-20 14:42:09,15.90591227,-19.1557373,31.5,134,0,1129,7
151,AG062,2009-04-20 14:42:19,15.90551656,-19.15555216,35.7,97,0,1129,2
152,AG062,2009-04-20 14:42:29,15.90498047,-19.15531006,38.9,129,0,1129,2
153,AG062,2009-04-20 15:01:14,15.90624695,-19.15594482,0,0,0,1116,2
154,AG062,2009-04-20 15:01:24,15.89487203,-19.14725749,0,0,0,1121,2
155,AG062,2009-04-20 15:01:34,15.8948761,-19.14723307,0,0,0,1124,1
156,AG062,2009-04-20 15:20:38,15.8948822,-19.14725545,0,0,0,1122,1
157,AG062,2009-04-20 15:20:48,15.89846598,-19.12656657,68,334,0,1117,1
158,AG062,2009-04-20 15:20:58,15.89809672,-19.12580566,62.7,334,0,1122,1
159,AG062,2009-04-20 15:40:45,15.89892985,-19.12785441,0,0,0,1109,1
160,AG062,2009-04-20 15:40:55,15.86645203,-19.0246582,0,0,0,1115,2
161,AG062,2009-04-20 15:41:05,15.86645813,-19.02467244,0,0,0,1114,1
162,AG062,2009-04-20 16:00:38,15.86644592,-19.02467041,0,0,0,1112,1
163,AG062,2009-04-20 16:00:48,15.8653127,-19.02402344,0,0,0,1131,2
164,AG062,2009-04-20 16:00:58,15.86531067,-19.02403158,0,0,0,1127,1
165,AG062,2009-04-20 16:21:08,15.86529541,-19.02407837,0,0,0,1111,1
166,AG062,2009-04-20 16:21:18,15.81984863,-19.06927897,44.8,180,0,1140,3
167,AG062,2009-04-20 16:21:28,15.81964518,-19.07084757,31.6,195,0,1143,1
168,AG062,2009-04-20 16:40:44,15.8055542,-19.08000692,0,0,0,1148,2
169,AG062,2009-04-20 16:40:54,15.80553792,-19.07998657,0,0,0,1150,2
170,AG062,2009-04-20 16:41:04,15.80551453,-19.07998454,0,0,0,1148,3
171,AG062,2009-04-20 17:00:51,15.90525411,-19.15546468,52.5,316,0,1117,2
172,AG062,2009-04-20 17:01:01,15.90587972,-19.15575765,53,308,0,1118,2
173,AG062,2009-04-20 17:01:11,15.90648905,-19.15604655,52.7,305,0,1117,2
174,AG062,2009-04-20 17:20:38,15.9050059,-19.15533651,0,0,0,1120,2
175,AG062,2009-04-20 17:20:48,15.91889852,-19.17759806,0,0,0,1157,3
176,AG062,2009-04-20 17:20:58,15.91888428,-19.17758993,0,0,0,1153,3
177,AG062,2009-04-20 17:40:45,15.91891479,-19.17760824,0,0,0,1162,3
178,AG062,2009-04-20 17:40:55,15.91893107,-19.17761027,0,0,0,1127,3
179,AG062,2009-04-20 17:41:05,15.91890666,-19.17760417,0,0,0,1126,3
180,AG062,2009-04-20 18:00:45,15.91893412,-19.17761434,0,0,0,1130,3
181,AG062,2009-04-20 18:00:55,15.91891276,-19.17757365,0,0,0,1152,3
182,AG062,2009-04-20 18:01:05,15.91895142,-19.17753906,0,0,0,1168,3
183,AG062,2009-04-20 18:22:08,15.91890869,-19.17759603,0,0,0,1144,3
184,AG062,2009-04-20 18:22:19,15.91876424,-19.17761841,0,0,0,1110,4
185,AG062,2009-04-20 18:22:29,15.91887614,-19.17756755,0,0,0,1131,4
186,AG062,2009-04-20 18:41:21,15.91869812,-19.17765503,0,0,0,1094,4
187,AG062,2009-04-20 18:41:30,15.91875916,-19.17762451,0,0,0,1112,8
188,AG062,2009-04-20 18:41:40,15.91886902,-19.17753703,0,0,0,1137,2
189,AG062,2009-04-20 19:00:38,15.91879069,-19.1776123,0,0,0,1119,2
190,AG062,2009-04-20 19:00:48,15.91892802,-19.17753906,0,0,0,1151,2
191,AG062,2009-04-20 19:00:58,15.91891886,-19.17753906,0,0,0,1149,2
